mars,  6.4171e+23 
2000679777762.8833,9895077692487.98,158291365883.67313
2000679777762.8833,9895077692487.98,158291365883.67313
2000679777762.8833,9895077692487.98,158291365883.67313
2000679777762.8833,9895077692487.98,158291365883.67313
2000679777762.8833,9895077692487.98,158291365883.67313
2000679777762.8833,9895077692487.98,158291365883.67313
2000679777762.8833,9895077692487.98,158291365883.67313
2000679777762.8833,9895077692487.98,158291365883.67313
2000679777762.8833,9895077692487.98,158291365883.67313
2000679777762.8833,9895077692487.98,158291365883.67313
2000679777762.8833,9895077692487.98,158291365883.67313
