mercury,  3.302e+23 
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
151322608111923.22,-110400512187194.83,-22901973969851.562
