venus,  4.8685e+24 
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
42335634940189.66,4532669942162.431,-2380551938984.1133
